Date,Open,High,Low,Close,Adj Close,Volume
2016-09-23,777.681946,794.421021,778.275269,793.581177,793.581177,67224599
2016-09-24,793.737854,795.869141,792.532043,793.295532,793.295532,46547246
2016-09-25,793.458801,794.290710,789.459534,790.086182,790.086182,44680807
2016-09-26,790.061218,804.390747,790.299438,804.258545,804.258545,78242731
2016-09-27,804.230652,806.780151,797.062744,800.624084,800.624084,65277106
2016-09-28,800.725708,801.426758,798.806763,790.016724,790.016724,63651205
2016-09-29,790.396790,794.453918,790.173462,796.667969,796.667969,73207757
2016-09-30,796.696960,800.094238,796.077942,800.094238,800.094238,73643813
2016-10-01,800.348877,807.313965,800.348877,805.668457,805.668457,73951655
2016-10-02,805.622559,805.697388,800.024719,801.979065,801.979065,51527137
2016-10-03,802.078796,804.485535,800.672791,802.812439,802.812439,61375970
2016-10-04,802.706177,802.586426,803.719971,805.286194,805.286194,65723172
2016-10-05,805.304688,809.682068,803.292297,807.166992,807.166992,89712535
2016-10-06,807.112915,811.161743,807.077942,810.536377,810.536377,75116959
2016-10-07,809.990234,818.115479,809.745056,820.153748,820.153748,85150891
2016-10-08,820.446167,823.779297,820.446167,822.794495,822.794495,56277701
2016-10-09,822.879578,822.914124,817.189270,817.011414,817.011414,51985732
2016-10-10,817.104126,823.619141,816.337830,815.029419,815.029419,88852370
2016-10-11,815.350647,849.471863,814.997437,847.945984,847.945984,137018493
2016-10-12,847.680054,848.617065,843.671204,844.417664,844.417664,122602966
2016-10-13,844.202637,848.434143,837.793762,840.621216,840.621216,81345486
2016-10-14,840.914246,841.750671,840.914246,841.136475,841.136475,76372932
2016-10-15,841.048462,843.400940,837.211792,838.861511,838.861511,51272998
2016-10-16,839.435547,844.446533,839.196472,843.103088,843.103088,52951703
2016-10-17,843.348816,844.854004,838.372925,838.301636,838.301636,76150411
2016-10-18,838.587524,837.570129,833.663513,836.046631,836.046631,85898950
2016-10-19,836.274597,837.052734,818.238159,827.872803,827.872803,91098167
2016-10-20,828.060547,831.855530,825.216858,834.245300,834.245300,75320334
2016-10-21,834.203003,844.803406,834.786560,843.433167,843.433167,74571493
2016-10-22,843.843628,877.244995,843.462463,876.041443,876.041443,104700098
2016-10-23,876.477234,881.152771,871.499268,877.255493,877.255493,72729038
2016-10-24,877.375671,877.102783,870.365906,872.705566,872.705566,83055075
2016-10-25,873.027283,887.072510,872.752197,877.880005,877.880005,120655698
2016-10-26,878.000122,908.388550,878.197388,906.960327,906.960327,118837576
2016-10-27,906.839905,921.958496,906.742859,921.169250,921.169250,128617718
2016-10-28,920.750427,926.299622,915.887634,923.856506,923.856506,108702517
2016-10-29,924.711121,965.050476,924.393677,957.116089,957.116089,180525825
2016-10-30,956.632446,956.632446,932.997864,940.778503,940.778503,134931366
2016-10-31,941.818665,950.589111,927.407227,940.353943,940.353943,130211893
2016-11-01,940.843567,985.372803,940.913696,977.046936,977.046936,174749548
2016-11-02,977.412354,992.340393,966.069580,992.340393,992.340393,113676935
2016-11-03,994.372498,996.725647,908.322144,922.100464,922.100464,231372631
2016-11-04,922.668152,948.982849,918.105957,942.334900,942.334900,133876313
2016-11-05,942.723511,948.063416,934.970276,942.580139,942.580139,72028082
